Word,Number,Definitions,Type,Etymology
-able,0,"adjectivizer, suffix forming adjectives",v > adj,MEng. -able < AnglNorm. -able < Lat. -ābilis 'suffix forming adjectives'
aboard,0,on board,adj,
aboot,0,about,prep,"< OE abūtan, onbūtan < on 'in, on' (PGmc. *an(a) ''on, upon, onto < PIE *h₂en- 'up, on high') + būtan 'outside of; wihtout, except for, besides' < be 'by' (PGmc. *bī 'by') + ūtan 'outside' (< PGmc. *ūtanē 'outside, from without' < *ūt 'out(ward)' <PIE *úd 'out(ward)' +‎ *-anē 'adverbializer with ablative direction (""from X"")')"
aboot da banks,0,,,
abreast,0,abreast,adj,
absence,0,absence,n,
absent,0,absent,adj,
absolutely,0,absolutely,adv,
absorb,0,absorb,v,
abstract,0,abstract,adj,< Lat. abstractus ‘incorporeal; secluded’
abün,0,above,prep,"OE abufan < a + bufan < be 'by' + ufan 'above' < PGmc. *ubanē 'from below' < *ub 'under' (< PIE *upó 'under, below') +‎ *-anē 'adverbializer with ablative direction (""from X"")'"
abuse,0,abuse,v,
abysmal,0,abysmal,adj,
accept,0,accept,v,
access,0,access,n,
accident,0,accident,n,
accoard,0,accord,v,"late OE acordian < Anglo-Norm. acorder < Vulg. Lat. *accordō, accordāre 'to be at heart with; agree' (deriv ad [< PItal. *ad < PIE *h₂éd 'to, at'] + cor 'heart' [< PItal. *kord 'heart' < PIE *ḱḗr 'heart'])"
accoardin,0,according,,
accoardin tae,0,according to,,
accommodation,0,accommodation,n,
accomplish,0,accomplish,v,
accordion,0,accordion,n,"English loan, in turn loan < Gm. Accordion, Akkordion"
accuracy,0,accuracy,n,
accurate,0,accurate,adj,
accuse,0,accuse,v,
acetelyne,0,acetelyne,n,
ach,0,exclamation of rejection or exasperation,interj,Imitative. Since MEng 1600s onwards.
acht,0,"valuable possession,owned",n,"OE æaht, ætan, hæht 'possession, ownership, power; property, livestock' < PGmc. *aihtiz 'possession, property' < PIE *h₂éyḱ-tis deriv. *h₂eyḱ- 'to obtain, own, come in posession of, possess'"
aclock,0,o'clock,adv,
acoont,0,account,v,
acquaint,0,acquaint,v,
acquaintance,0,acquaintance,n,
acquant,0,acquainted,adj,OSc. aquynt < AnglNorm. acointe < Lat. accognitus pptc accognōscere 'to recognize'
acre,0,acre,n,
across,0,accross,adv,"MEng. acr(e)o(i)z, acros, etc < a + cross < Anglo-Norm. an 'in, on' + croix 'in the form of a cross', cf. OFr. en croix. The etymology of cross (n) is complicated, cf. sv"
act,0,act,v,
action,0,action,n,
active,0,active,adj,
activity,0,activity,n,
actual,0,actual,adj,
actually,0,actually,adv,
add,0,add,v,
addeetion,0,addition,n,
address,0,address,n,"< adresce < AnglNorm. adrescer, adre(s)ser, etc 'to direct, guide, make straight, set up, raise, set right, put right (a wrong), set to rights, reform, speak to, etc'"
adequate,0,adequate,adj,
adjacent,0,adjactent,adj,
adjective,0,adjective; a word or lexical unit which designates an attribute and qualifies a noun,n,"MEng. adiectif, adiectiue, etc < Anglo-Norm. adjectyf < Lat. adiectivum"
adjourned,0,adjourned,adj,
admeesion,0,admission,n,
administration,0,administration,n,
admiralty,0,admiralty,n,
admire,0,"surprise, astonish, marvel,admire",v,"MEng. emyre < AnglNorm. a(d)mirer 'to admire, wonder (at), to regard with astonishment or wonder, etc'. The Sh. meaning 'to marvel, etc' was found in other varieties of Eng. & Sc. 15C-19C but is now obsolete elsewhere."
admit,0,admit,v,
admittedly,0,admittedly,adv,
adnashoor,0,series of waves,n,
adopt,0,adopt,v,
adult,0,adult,n,
advance,0,advance,v,
advancement,0,advancement,n,
Advent,0,Advent,n,
adventure,0,adventure,n,
adverb,0,"adverb; a word or lexical unit that modifies the meaning of a verb, adjective or another adverb (typically expressing manner, place, time or degree)",n,"MEng. aduerbe, adverbe, etc < Anglo-Norm. adverbe < Lat. adverbium 'part of speech that may be added to verbs and modifies its meaning'"
advert,0,advert,n,
advertise,0,advertise,v,
advice,0,advice,n,
advise,0,advise,v,
aer,0,oar,n,"OSc. are, air, aire, ayr, ar; OE ār < prob. early Scand. loan, cf. ON ár (> No, Da. åre Sw. åra) < PGmc. *airō 'oar' < PIE *h₃eyH- 'pole'"
aerate,0,aerate,v,
aerodrome,0,aerodrome,n,
aert,0,earth,n,"Sc. eart, ert, aert. NOE earð- < PGmc. *erþō 'earth' < PIE *h₁er- 'earth'"
aertbark,0,tormentil roots,n,
aertbile,0,quagmire,n,
aertfast,0,"fixed firmly in the ground, eg a stone",adj,
aesily,0,easily,adv,
aest,0,east,n,OE ēast 'east' < PGmc. *austrą 'east' < PIE *h₂ews- 'east; dawn'
aester,0,"to shift towards the east, esp of wind",v,
Aester,0,Easter,n,"OE Aestor, Aeuster"
aesterly,0,easterly,adv,
aestert,0,easterly direction,n,"OE æstewerd < ēast + -weard 'in the direction of, toward' < PGmc. -warđo- 'turned toward, facing, in the direction of' < PIE *wert- 'to turn, wind' < *wer- 'to turn, bend'"
aesy,0,easy,adj,"Sc. easy, aisy; MEng. aisie, aisy, eise < OFr. aisié pptc ais(i)er 'to put at ease' < Orig. uncertain"
aet,1,oat,n,"PIE *h₁eyd- 'to swell' > PGmc. *aitǭ 'swelling, gland' > OE atae, ǣte > NMEng, aitt, ye(a)t, etc. Differs from other names of cereals in that is is not a mass noun but a count noun with a pl form, indicating that it originally denoted the individual grain rather than the plant or produce. The OE form ǣte show i-mutation, whence MEng ete, Sc. eat, etc."
aet,2,eat,v,"OE e(a)t(t)an, eotan 'to eat' < PGmc. *etaną 'to eat' < PIE *h₁édti 'to eat'"
aet,3,"agitation, eagerness",n,"Shetland specific. < ON etja 'to incite, provoke, egg on' < PGmc. *atjaną 'to incite' < PIE *h₃ed- 'to hate'"
aetmell,0,oatmeal,n,
aff,0,off,adv,"OE of(f) (unstressed), æf (stressed) 'from, off, away' < PGmc. *ab 'from' < PIE *h₂epo 'from, off, back'. The two forms, stressed and unstressed, developed into two sepaarte words, off (originally the stressed variant) and of (originally the unsressed variant). The unstressed variant of was further reduced to o or a from the 15C"
Aff a laeg an on a laeg,0,,,
aff o da sile,0,out of sorts,adj,
affair,0,affair,n,
affbidden,0,"forbidding, off-putting",adj,
affcutteens,0,hocks of cattle,n,
affect,0,affect,v,
affection,0,affection,n,
affen,0,often,adv,"MEng offen < ofte < OE oft < PGmc. *ufta, *uftō 'often'. Further orig. uncertain."
afflay,0,"voluminous talk, garrulousness",n,
affoard,0,afford,v,
aff-pittin,0,offensive,adj,
affrød,0,"dissuade, discourage",v,
affront,0,"to cause to feel ashamed, humiliated; to cause offence to",v,"MEng. afro(u)nt < OFr. afronter, afrunter 'to defy' < Lat. *affrontare 'to hit in the face'. Trans. use of word ('to cause offence to, etc') since 14C"
affrontit,0,"ashamed, humiliated, embarrassed",adj,
affrug,0,back-surge of wave after having broken on the shore,n,"Poss. Shetland specific, or specific to former Norn speaking areas. < ON af + reka 'to drive' < vreka 'id.' < PGmc. *wrekaną 'to pursue, drive out' < PIE *wreg- 'track, hunt, follow'; cf. > OE wrecan 'to drive (out); punish; take revenge' > Eng. wreak, Sc. wrek(e), wreik"
affset,0,"ouset,weak tidal movement,adornment",n,
afftak,0,sarcastic remark,n,"Sc. afftak, afftack, offtak(e) < OSc. offtakinge"
afftakin,0,"waggish, jeering",adj,"Sc. afftakin(g), afftackin < OSc. offtakinge"
afield,0,afield,adv,
afkled,0,undress,v,
aflott,0,afloat,adj,
afore,0,before,prep,"NOE onfora > OSc. aforne. a + fore < NOE fōra < PGmc. *fura-, *furai- 'before, in front of, for' < PIE *per- 'before, in font; first'"
afraid,0,afraid,adj,
aft,0,often,adv,"OE oft > OSc. (h)of(f)t, aft (from end 16C). Now arch. & poet., and in deriv. forms"
aftest,0,most often,adv,
ag,0,"irritate, eg by teasing",v,"Sc. ag(g) < ON aga 'to threaten, look dangerous' < PGmc. *agaz 'fear, dread' < PIE *h₂egʰ- 'to be upset, afraid'; cf also ON eggja 'to incite, egg on' (< egg 'edge' < PGmc. *agjō 'edge' < PIE *h₂eḱ- 'sharp' ) whence MEng eggen > ModEng egg (on)"
age,0,age,n,
agein,0,again,adv,
ageinst,0,against,adv,
agent,0,agent,n,
agg,0,"feel sick, gag",v,
aggel,0,"dirty, soil,mess",v,"Orig. uncertain but cf. LGm. alken 'dig about in sometihng unclean; make a mess' > loan to Scand., eg. No. alka 'to soil, defile'"
aggrieve,0,aggrieve,v,
agment,0,"anxiety, unrest",n,
agnostic,0,agnostic,adj,
ago,0,ago,adv,
agree,0,agree,n,
agreeable,0,"in agreement,easy-going, pleasant, unargumentative",adj,
agreement,0,agreement,n,
agricultural,0,agricultural,adj,
agriculturalist,0,agriculturalist,n,
agriculture,0,agriculture,n,
ah,0,ah,interj,
aha,0,aha,interj,
aheid,0,ahead,adv,a + head
ahint,0,behind,prep,"a + hint < OE hindan 'at the rear, from behind' < PGmc. hinder 'behind, beyond' < PIE *ḱem-ta- 'down, back, along, over, through' deriv. *ḱóm 'with, at, along'"
aibb,0,ebb,v,
aibb-sleeper,0,dunlin,n,
aid,0,aid,n,
aidge,0,edge,n,
aidge o a time,0,occasionally,adv,
ail,0,ail,v,
aim,0,aim,v,
ain,0,own,adj,"OSc, aw(i)n < OE āgen 'own, proper, peculiar' pptc of āgan 'to own' < PGmc *aiganaz pptc of *aiganą 'to own' < PIE *h₂eyḱ- 'to obtain, own, possess, come in possession of'"
aipple,0,apple,n,"NOE æpil < PGmc. *aplaz 'apple, fruit' < PIE *h₂ébōl, *h₂ébl̥ 'apple, apple tree'"
air,0,"air,weather",n,
aircraft,0,aircraft,n,
airly,0,early,adj,"NOE arlic, ǣrlīċ 'early' > OSc. airlie. Formed within English: or (< NOE aar, air < early Scand. loan ON ár 'early' < PGmc. *airi 'early' < PIE *h₂éyeri 'early, in the morning' < *h₂éy- 'day' + *-eri 'locative adv. suffix') + -ly (OE -líc, -lic 'adjectivizer' < PGmc. *-līkaz 'adjectivizer; having the body/form of' < *līką 'body' < PIE *leyg- 'image, likeness; similar, like')"
airm,0,arm,n,"NOE eorm < PGmc. *armaz < PIE *h₂(e)rmos 'joint, fitting; arm' deriv. *h₂er- 'to fit, fix, put together'"
airman,0,airman,n,
airmshair,0,armchair,n,
airmy,0,army,n,
airn,0,earn,v,
airpoart,0,airport,n,
airrants,0,shopping,n,
aise,0,ease,v,"MEng. eyse, eysy, eyss, Sc. eiss, eese, ayse(n) < OFr. aaisier < Orig. uncertain"
aisheens,0,"top of side of house wall, inside roof,eaves of a building,top of gable, inside roof",n,OSc. eisin(g) 'eaves' <NMEng. esying < evesing < OE efesung < efes 'eaves' <PWGmc. *ubisu 'hall' < PGmc. *ubiswō. Poss. same root as over. Originally final -s reanalysed in modern times as plural -s
aisle,0,aisle,n,
ajee,0,ajar,adj,"OSc. achar, a jarre, agee; MEng. a < on + char < OE ċierr, cyrr 'turn deriv. OE ċierran 'to turn, convert' < PGmc. *karzijaną 'to turn < PIE *gers- 'to bend, turn'"
aker,0,"ear of corn,remnants, fragments,ruin",n,"Sc. aiker, acker, aicher, icker < MSc. echer < OSc. echir NOE eher, æhher < PGmc. *ahaz 'ear (of grain)'< PIE *h₂eḱ- 'sharp'"
akkadør,0,"put up with, endure",v,Orig. uncertain
aks,0,ask,v,"OE ascian, acsian < PWGmc. *aiskōn 'to claim; demand, ask (for)' < PIE *h₂eys- 'to wish, request'. Variation between ask-/aks- forms throughout OE and MEng, incl OSc. Sc. US and regional Eng. forms still with -ks- forms."
akwirt,0,awkward,adj,
alaek,0,alike,adj,
alamootie,0,storm petrel,n,"Orkney & Shetland specific. Orig. uncertain. Poss aale 'urine, lquid manure' + mutt 'small thing' + -y 'pet name; dimin.' (so called from its habit of regurgitating stomach oil through the mouth and nostrils when alarmed). Cf. No. aale, Sw. al 'urine, liquid manure, cattle wash' < ON *aðl < PGmc. *adalaz 'liquid manure, filth, mire, urine' < orig. unknown, poss substrate. Alt. sugg. alan as 'petrel' + mootie 'small', ie 'small petrel', although the order of the compound components would be unusual."
alan,0,arctic skua,n,"Sc. al(l)an, aulin, allan-hawk. Orig. uncertain."
alang,0,along,prep,"OE andlangc < and 'against, oppising; back, facing, toward, etc' < PGmc. *andi- 'against, opposing, un-/de-' < PIE *h₂énts 'front' + lang 'long' < PGmc. *langaz 'long' < PIE *dlongʰos 'long'"
alangside,0,alongside,adv,
alarm,0,"alarm,alarm",n,
album,0,album,n,
alcohol,0,alcohol,n,
alein,0,alone,adj,"OE alaan, OSc. allayn, alain, etc. < all + one"
alert,0,alert,v,
aless,0,"except, apart from, but",prep,"MEng. of/on/in lasse > late MEng. vnlasse, unless< on + less. Meaning of 'except, apart from' since 16C"
aliplukkins,0,,,
alive,0,alive,adj,
allocate,0,allocate,v,
allocation,0,allocation,n,
allower,0,sweater with a Fair Isle pattern all over,n,all + over
almighty,0,almighty,adj,
almosst,0,almost,adv,
aloft,0,aloft,adv,
aloo,0,allow,v,"Anglo-Norman allouer, alouer 'to laud, praise; to allot, portion' < Lat. allaudāre 'extol', also laudāre 'praise'; merged with alouer < Lat. allocō 'to assign'"
alood,0,allowed,adj,verbal adjective of aloo
alotted,0,alotted,adj,
alphabet,0,alphabet,n,MEng. alphabete < AnglNorm. alphabet < Lat. alphabētum < AGr. alphábētos
alreidy,0,already,adv,
also,0,also,adv,
alter,0,alter,v,
alteration,0,alteration,n,
altho,0,although,conj,< all + though
aluminium,0,aluminium,n,
alveolar,0,alveolar,adj,
alwis,0,always,adv,"Sc. alwayis < OE ealneġ, ealneweġ < all + way"
A'm no carin,0,I don't care,,
A'm seen da day!,0,,,
A'm sittin whar I heard it,0,that's news to me,interj,
amateur,0,amateur,n,
amazin,0,aamazing,adj,
ambeetion,0,ambition,n,
ambeetious,0,ambitious,adj,
amber,0,amber,n,
amble,0,amble,v,
ambulance,0,ambulance,n,
American,0,American,n,
amiss,0,amiss,adj,
ammerswak,0,state of unrest or agitation,n,"Shetland specific. Sugg. < ON ama 'to bother, wound' (< PGmc. *ammōną 'to irritate, bother' < PIE *h₃emh₃- 'to grab, grasp, take hold of; swear' > trans. 'to insist, urge') + *hvekkr 'start, be startled'"
ammuneetion,0,ammunition,n,
amok,0,amok,n,
among,0,among,adv,
amoont,0,amount,n,
amp,0,"state of anxiety, watchfulness",n,"nominalization of amper, sv"
amper,0,bitter,adj,"PGmc. *ampraz 'sharp (in taste), sour' > PWGmc. *ampr > MDu., MLGm. amper 'sour' > loan into Scand., cf. No. Sw. Da. amper 'sharp, bitter'; prob further infl. Sh. aber, sv"
ample,0,ample,adj,
amuse,0,amuse,v,
amusement,0,amusement,n,
an,0,and,coordconn,"OSc. & MEng. and, an < OE ond, and < PGmc. *andi 'in addition, furthemore, and' < PIE *h₂énti 'opposite, near, in front, before' loc. infl. of *h₂ént- 'front, forehead'"
an aa,0,as well,adv,"an 'and' + aa 'all', sv resp."
an dat,0,and so on,,
an dem,0,associative plural; X and those those associated with X,pro-form,
anaeth,0,,,
analogy,0,analogy,n,
analysis,0,analysis,n,
ancestor,0,ancestor,n,"MEng. ancestre < AngloNorm. auncester, auncesto(u)r 'forefather, forebear, forerunner, predecessor' < Lat. antecēssor 'id.'"
anchor,0,anchor,n,
ancient,0,ancient,adj,
ander,0,porch,n,
Angles,0,Angles,n,
anglified,0,anglified,v,
anglo,0,anglo,adj,
angry,0,angry,adj,
anidder,0,another,det,"Sc. anither, anid(d)er, anoder < an (= a) + other"
animacy,0,animacy,n,
animal,0,animal,n,
anker,0,liquid measure (8 1/3 gallons),n,"< Du., LGm. anker < ODu. *anker. Orig. uncertai, but cf. Lar. anc(h)eria 'small tub'. Cf. Da. anker, Sw. ankare, both loan fr LGmc."
ankle,0,ankle,n,"OE ancleow, oncleow. MEng. ancle(e), ankle, ankyl, ankel is not direct descendant of OE but prob. < ON ökkla 'ankle' (> Da. Sw. No. ankel 'ankle') < PGmc. *ankulaz 'ankle' dim. *ankiōn 'heel' < PIE *h₂eng- 'curve, bend'"
announce,0,announce,v,
annoy,0,annoy,v,
annoyed,0,"angy, upset",adj,"annoy + ed. < MEng anu(i)e, anuye, etc < OFr. annuier, enuier, anoier, enoier < late Lat. inodiō 'cause aversion, make hateful'"
anns,0,,,
annual,0,annual,adj,
anse,0,"ober, heed, pay attention to",v,"anse, ans. Orkney & Shetland specific. < ON anza 'to heed, take notice of; to answer, reply to' < PGmc. andasōn 'id.'"
answer,0,"answer,answer",v,
ant,0,"pay attention to, obey",v,"an(n)t, aint, ent. Orkney & Shetland specific. < ON enta 'to heed, ragard, notice, look afetr' < PGmc. andaljan 'id.' Cf. No. enta 'id.'"
anterin,0,,,
anteroom,0,anteroom,n,
anti,0,anti,adj,
antiquated,0,antiquated,adj,
antique,0,antique,adj,
antrin,0,"occasional, odd, chance,peculiar, singular",adv,"anter(i)n, antran(t), auntern, antera(n), etc. < anter + in < MEng. ant(e)re, aunter(e), auntyre, etc < AnglNorm. aventurer"
anunder,0,under,prep,OE onunder > late OE-MEn. anunder < on + under
anxious,0,anxious,adj,"MEng. anxi(o)us(e), etc < Lat. anxius 'worried, disturbed, uneasy, etc'"
anyatwart,0,"contrary, awkward, unpredictable (esp of weather),across in various directions, to and fro, all over",adj,"annehwart, athort, athuort, at(h)wart. MEng. athwert, athirt, etc. < a + thwart < ON þverr 'adverse, contrary; transverse; cross, obsinate' (> D. tvær, Sw. tvär 'id.') < PGmc. *þwerhaz 'cross, adverse' < prob. PIE *terkʷ- 'to turn, spin'"
anyister,0,young female sheep who has not yet lambed,n,"annaster, annester, annaset, annesed, anyester. Poss. Shetland specific. Sugg. < ON annars vetrar 'of the second winter (i.e. 2 years old)'"
anyoch,0,enough,adv,
apairt,0,apart,adv,"MEng. apart(e), a part < AnglNorm. à part"
apiece,0,apiece,adv,
apø,0,"on,upon,at",prep,MEng. & Sc. upon. wpon < up + on + sugg. infl. ON upp á > Sw. Da. No. på 'on'
Apø da amp,0,,,
apøn,0,upon,prep,
Apøn a amp,0,,,
Apøn a stowen dunt,0,,,
apostrophe,0,apostrophe,n,
appairently,0,apparently,adv,
appallin,0,appalling,adj,
appareetion,0,apparition,n,
appeal,0,appeal,v,
appear,0,appear,v,
appearance,0,indication,n,"MEng. aparaunce, apparens, etc. < OFr. aparance < Lat. appārēntia prsptc of appārēre 'to appear'. Meaning of 'indication, semblance, likelihood, probability, etc' 16-19C, but now obsolete in most areas."
appendicitis,0,appendicitis,n,
apper,0,,,
applicant,0,applicant,n,
application,0,applicaiton,n,
appløse,0,,,
apply,0,apply,v,
appoint,0,appoint,v,
appointment,0,appointment,n,
apportionment,0,apportionment,n,
appreciate,0,appreciate,v,
apprintice,0,apprentice,n,
apprinticeship,0,apprenticeship,n,
approach,0,approach,v,
appropriate,0,appropriate,v,
approval,0,approval,n,
approve,0,approve,v,
apricot,0,apricot,n,
April,0,April,n,
Arab,0,Arab,n,
arable,0,arable,adj,
arch,0,"timid, reluctant, backward, unwilling",adj,"PGmc. *argaz 'cowardly, unworthy, indecent' > OE (e)arg 'cowardly'; cf. ON argr 'cowardly, unmanly, indecent; bad, evil' > Sw., Da. arg 'angry'"
archaeological,0,archaeological,adj,
archaeologist,0,archaeologist,n,
archaeology,0,archaeology,n,
archangel,0,archangel,n,
archipelago,0,archipelago,n,
archive,0,archive,n,
ard,1,"scar, scratch",n,
ard,2,stone ploughshare,n,
area,1,area,n,< Lat. ārea 'open space'
area,2,area,n,
argie-bargie,0,"argument, dispute, quarrel",n,"argy-bargy < argle-bargle < rhyming of argle < prob. pop. form of argue, or haggle. Cf. argue < OFr. arguer < Lat. arguere 'to declare, prove, make clear, reprove, accuse'"
arithmetic,0,arithmetic,n,
ark,0,something big (originally a big flour chest),n,"OSc. a(u)rk 'large chest' < OE (e)arc < Lat. arca 'chest, box, coffer'"
arl,0,crawl or move feebly,v,"ar(e)l, ar. Shetland specific. Sugg. < ON arka 'to go forward, walk slowly' > Icel. arka 'to walks slowly, plod'"
arls,0,payment,n,
arm,0,wield,v,
armistice,0,armistice,n,
armour,0,armour,n,
arms,0,arms (weapons),n,
aroond,0,around,adv,"Sc. aroond, aroon < MEng. aronde, aroun(d)(e) < a (< OE a-/on- 'on, at') + round < MEng. roond(e), rount, etc < AngloNorm rund 'round object' + AnglNorm runde 'circle' < Lat. rotundus 'round, circular, rotund'"
arouse,0,arouse,v,
arrears,0,arrears,n,
arreinge,0,arrange,v,
arreingement,0,arrangement,n,
arrest,0,arrest,v,
arrisie,0,"dislike, loathing",n,"Shetland specific. Orig. uncertaing but cf. No., Da. arrig 'ill-tempered, testy, peevish; vicious' < arg (< ON. argr 'cowardly, unmanly, indecent; bad, evil') + ig"
arrive,0,arrive,v,
art,0,art,n,
arthritis,0,arthritis,n,
article,0,article,n,"eMidEng. arrucles > MEng. artecle, artikele, etc < AnglNorm. arti(c)kel < Lat. articulus 'joint, limb, member, part, division, the article in grammar, a point in time'"
artifeecial,0,artificial,adj,
artillery,0,artillery,n,
artist,0,artist,n,
